100001011011 B' U2 R F' 
000001001011 B2 U2 R F' 
100011001011 B U2 R F' 
100000001110 L' U2 R F' 
110000001010 L U2 R F' 
100001000101 D2 U2 R F' 
000001111000 R' U R F' 
101011011011 B' U R F' 
001000001110 L' U R F' 
001010001010 L2 U R F' 
011000001010 L U R F' 
001001000011 D' U R F' 
001001000101 D2 U R F' 
011011011011 U' B' R F' 
110100011111 L' B' R F' 
100111010111 D' B' R F' 
100111011101 D2 B' R F' 
100111011110 D B' R F' 
010000001110 U' L' R F' 
100110011111 B' L' R F' 
000100001011 D' L' R F' 
000100000111 D2 L' R F' 
000100001101 D L' R F' 
100110011010 B' L2 R F' 
000110011011 B L2 R F' 
000110000101 D2 L2 R F' 
101000001010 U2 L R F' 
110110011011 B' L R F' 
010100000011 D' L R F' 
010100000101 D2 L R F' 
000000101011 F2 D' R F' 
100111000011 B' D' R F' 
100101010011 B D' R F' 
000001001101 F' D2 R F' 
000000101101 F2 D2 R F' 
100111000101 B' D2 R F' 
100101000100 B2 D2 R F' 
100101010101 B D2 R F' 
011000000000 R' F' U' F' 
110010110001 B' F' U' F' 
000001100000 L' F' U' F' 
000010100000 L F' U' F' 
110001100000 U' F2 U' F' 
101001100000 U2 F2 U' F' 
110111110001 B' F2 U' F' 
000101000000 U F U' F' 
110011010001 B' F U' F' 
011100100000 F2 R' U' F' 
100101001000 U' R' U' F' 
001010001100 L2 R' U' F' 
011010001000 L R' U' F' 
011001000010 D' R' U' F' 
011001000001 D2 R' U' F' 
011001000100 D R' U' F' 
111011001011 R' B' U' F' 
110001111101 L' B' U' F' 
100011111101 L2 B' U' F' 
110010111101 L B' U' F' 
110011110110 D' B' U' F' 
000001100011 D2 L' U' F' 
000001100101 D L' U' F' 
000011001100 F L2 U' F' 
100010111100 B' L2 U' F' 
000010111101 B L2 U' F' 
000010101010 D' L2 U' F' 
000010100101 D L2 U' F' 
010111000000 F2 L U' F' 
110010111000 B' L U' F' 
010010111001 B L U' F' 
010010100010 D' L U' F' 
010010100100 D L U' F' 
011001100000 R' D' U' F' 
011001010000 R2 D' U' F' 
110011110011 B' D' U' F' 
000001100110 L' D' U' F' 
000010100110 L2 D' U' F' 
110011100001 B' D2 U' F' 
110001110001 B D2 U' F' 
010001000110 R D U' F' 
110011110101 B' D U' F' 
000011100100 L' D U' F' 
010011100000 L D U' F' 
100100100100 L' F2 U2 F' 
100110100000 L2 F2 U2 F' 
100010000000 L2 F U2 F' 
101001001011 R' B' U2 F' 
001001111001 U' B' U2 F' 
000101111001 U2 B' U2 F' 
010001111001 U B' U2 F' 
100000111101 L' B' U2 F' 
100010111001 L2 B' U2 F' 
110000111001 L B' U2 F' 
100001110110 D' B' U2 F' 
000010101001 L2 B2 U2 F' 
010000101001 L B2 U2 F' 
001011101001 U' B U2 F' 
010011101001 U B U2 F' 
110000101101 L' B U2 F' 
100011100110 D' B U2 F' 
100010101101 B L' U2 F' 
100000100011 D2 L' U2 F' 
110010101001 B L U2 F' 
